asset_id,type,target_path,status,priority,size,style_prompt,usage_notes
participant_anya,participant,src/assets/art/participants/participant_anya_v01.png,needed,P0,512x512,"Semi-realistic editorial illustration portrait of a burned-out office worker woman in her late 20s, dark investigative UI game art, subtle psychological drama, neutral background, soft cinematic lighting, modern Eastern European context, no text, no logo, not caricature, 1:1",Participant card and profile
participant_ilya,participant,src/assets/art/participants/participant_ilya_v01.png,needed,P0,512x512,"Semi-realistic editorial illustration portrait of a young aspiring entrepreneur man, anxious but ambitious, dark investigative UI game art, subtle psychological drama, neutral background, soft cinematic lighting, modern Eastern European context, no text, no logo, not caricature, 1:1",Participant card and profile
participant_marina,participant,src/assets/art/participants/participant_marina_v01.png,needed,P0,512x512,"Semi-realistic editorial illustration portrait of a woman after divorce looking for stability and acceptance, dark investigative UI game art, restrained emotion, neutral background, soft cinematic lighting, modern Eastern European context, no text, no logo, not caricature, 1:1",Participant card and profile
participant_danya,participant,src/assets/art/participants/participant_danya_v01.png,needed,P0,512x512,"Semi-realistic editorial illustration portrait of a student looking for status and community, dark investigative UI game art, subtle uncertainty, neutral background, soft cinematic lighting, modern Eastern European context, no text, no logo, not caricature, 1:1",Participant card and profile
participant_sveta,participant,src/assets/art/participants/participant_sveta_v01.png,needed,P0,512x512,"Semi-realistic editorial illustration portrait of a skeptical woman who has tried many self-help marathons before, dark investigative UI game art, alert expression, neutral background, soft cinematic lighting, modern Eastern European context, no text, no logo, not caricature, 1:1",Participant card and profile
participant_oleg,participant,src/assets/art/participants/participant_oleg_v01.png,needed,P0,512x512,"Semi-realistic editorial illustration portrait of a skeptical man observing a self-help group out of curiosity, dark investigative UI game art, calm critical look, neutral background, soft cinematic lighting, modern Eastern European context, no text, no logo, not caricature, 1:1",Participant card and profile
card_practice_template,card_template,src/assets/art/cards/card_practice_template_v01.png,needed,P0,768x512,"Editorial illustration for a card game about social influence: glossy self-help webinar aesthetic mixed with subtle investigative unease, dark blue and violet palette, no readable text, no logos, cinematic composition, 4:3",Base image for practice cards
card_crisis_template,card_template,src/assets/art/cards/card_crisis_template_v01.png,needed,P0,768x512,"Documentary-style illustration for an investigative card game: a tense chat notification and scattered notes on a desk, quiet tension, realistic details, dark interface-friendly palette, no gore, no explicit harm, no readable text, 4:3",Base image for crisis cards
card_counter_template,card_template,src/assets/art/cards/card_counter_template_v01.png,needed,P0,768x512,"Calm documentary illustration: two people talking outside the group context, grounded and humane mood, dark blue palette with green accent, no readable text, 4:3",Base image for counter/protection cards
bg_case_board,background,src/assets/art/backgrounds/bg_case_board_v01.png,needed,P1,1920x1080,"Dark investigative dashboard background, corkboard and glass UI feeling, subtle self-help marketing artifacts, blue violet palette, no readable text, no logos, cinematic lighting",Main background
icon_metric_set,icons,src/assets/art/icons/metric_icons_v01.svg,needed,P1,24x24,"Minimal duotone SVG icon set for game metrics: trust, autonomy, dependence, money, harm, doubt, visibility, control, resistance, fatigue, shame, fear; dark UI compatible",Metric gauges
