card_id,title,type,tier,surface_layer,tags,group_effects,participant_effects,red_flag,debrief_tags,notes
opening-broadcast,Стартовый эфир,practice,1,История преодоления и приглашение к эксперименту,"belonging;leader_aura;social_proof","trust +8; involvement +6","vulnerable trust +6",Личная история лидера становится главным доказательством методики,"charismatic authority; social proof",Проверить не слишком ли очевидно звучит лидерская рамка
support-window,Окно поддержки,practice,1,Живой чат с быстрым откликом,"support;belonging;time_attention","trust +7","lowProtection dependence +4; vulnerable autonomy -2",Поддержка постепенно заменяет внешние источники опоры,dependency loop,Нужно проверить мобильный UX для чата как карты
pain-map,Карта точки роста,practice,1,Домашнее задание про препятствия,"confession;personal_disclosure;promise","trust +5","vulnerable shame +5; highTrust trust +4",Личная боль используется как материал для дальнейших продаж,"confession; vulnerability mapping",Можно добавить выбор приватно/публично
shared-pace,Единый ритм потока,practice,1,Ежедневное короткое задание,"daily_task;public_commitment;time_attention","involvement +9","all fatigue +4; highTrust recruitReadiness +3",Ритм группы начинает конкурировать с обычной жизнью,behavioral commitment,Сделать карту сильнее в комбо со стыдом
success-gallery,Галерея прорывов,practice,1,Истории участников с результатами,"social_proof;status;promise","trust +6; legitimacy +5","vulnerable doubt -3",Видимые успехи вытесняют разговор о тех кому не помогло,"availability bias; testimonial marketing",Нужна карта обратной стороны: молчание неуспешных
next-level-invite,Приглашение в следующий круг,practice,2,Закрытый платный формат,"money;status;scarcity;access","money +14; legitimacy +3; doubt +4","vulnerable financialPressure +7",Доступ к поддержке связывается с оплатой и избранностью,"scarcity; sunk cost",Ключевая карта монетизации внутри сценария
team-language,Общая позиция команды,practice,2,Короткие формулы про сомнения и откаты,"language_frame;leader_aura;information_control","leaderControl +9; trust +4","highDoubt doubt +5; lowProtection autonomy -5",Сомнения переводятся на язык внутренней неисправности участника,"loaded language; thought-terminating cliché",Проверить формулировку surface
curator-ladder,Лестница наставников,practice,2,Мини-роли для активных участников,"status;role;peer_pressure;recruitment","involvement +8; leaderControl +6","highTrust recruitReadiness +8; highTrust dependence +5",Статус внутри группы зависит от продвижения её правил,"peer enforcement; identity fusion",Дальше связать с персонажами-кураторами
resistance-review,Разбор внутренних стопоров,practice,2,Обсуждение саботажа роста,"shame;language_frame;public_commitment","harm +6","vulnerable shame +9; lowProtection doubt -4; highDoubt exitReadiness +5",Усталость и несогласие объясняются дефектом участника,"shame induction; gaslighting",Следить чтобы не звучало слишком прямолинейно
quiet-skeptics,Чистая среда фокуса,practice,3,Временное удаление отвлекающих каналов,"isolation;information_control;us_vs_them","leaderControl +12; radicalization +8; visibility +6","vulnerable autonomy -10; lowProtection fear +5",Внешние связи маркируются как помеха развитию,"isolation; information control",Чувствительная карта для платформенной модерации
public-stake,Ставка на новый образ,practice,2,Публичное заявление новой идентичности,"public_commitment;identity;exit_cost","involvement +7","highTrust dependence +6; vulnerable shame +5; highTrust exitReadiness -4",Выход начинает выглядеть как предательство нового себя,"commitment escalation; identity fusion",Нужна визуальная обратная связь по identity
participant-tired,Участник выгорел,crisis,1,Участник пишет что ему хуже,"fatigue_signal;harm_visible","harm +4; doubt +6","all fatigue +8; highDoubt exitReadiness +7",Ухудшение состояния становится заметным внутри группы,harm signal,Кризисы должны требовать реакции
outside-question,Вопрос от близкого,crisis,1,Родственник спрашивает про время и деньги,"outside_contact;family_pressure","visibility +7; resistance +5","vulnerable doubt +6; vulnerable autonomy +4",Внешняя обеспокоенность появляется раньше публичного скандала,protective social ties,Нужно добавить варианты ответа
skeptic-thread,Неловкая ветка вопросов,crisis,1,Просьба показать критерии результата,"fact_check;skepticism","doubt +8; legitimacy -4","highDoubt doubt +8; highDoubt autonomy +5",Запрос критериев воспринимается как угроза атмосфере,reality testing,Хорошо для обучения без лекции
pause-and-check,Пауза на проверку,counter,1,Сверка обещаний расходов и результатов,"fact_check;autonomy_support","trust -3; doubt +5; harm -5","all autonomy +8; vulnerable dependence -6",Безопасная группа выдерживает проверку обещаний и паузу,"informed consent; autonomy support",Защитные карты не должны быть auto-win
trusted-conversation,Разговор с человеком вне потока,counter,1,Обсуждение происходящего с близким,"outside_contact;autonomy_support","resistance +4","vulnerable autonomy +10; lowProtection fear -4; highDoubt exitReadiness +6",Внешняя поддержка снижает зависимость от группы,protective relationship,Добавить влияние отношений между участниками
